prog,call-count,old-mean,new-mean,delta-new-mean,delta-old-mean,old-median,new-median,delta-new-median,delta-old-median,old-stddev,new-stddev,p-value
Fibs,,6.462530,6.045217,-6.457430,,6.463600,6.042650,-6.512625,,0.017159,0.012808,0.000000
Knapsack,,5.323540,5.299163,-0.457903,,5.336750,5.307200,-0.553708,,0.054859,0.070430,0.140508
Mandlebrot,,5.053740,4.935293,-2.343743,,5.021500,4.908650,-2.247336,,0.101563,0.078739,0.000005
N Body,,4.545473,4.512863,-0.717417,,4.526200,4.491700,-0.762229,,0.054949,0.075608,0.061427
Sonar Sweep,,7.474003,7.483130,0.122112,,7.470450,7.477100,0.089017,,0.013747,0.023286,0.070804
Sort,,3.477813,3.463510,-0.411274,,3.474900,3.453600,-0.612967,,0.021698,0.061662,0.238547
