prog,call-count,old-mean,new-mean,delta-new-mean,delta-old-mean,old-median,new-median,delta-new-median,delta-old-median,old-stddev,new-stddev,p-value
Fibs,903,6.050447,6.055000,0.075256,,6.048150,6.052850,0.077710,,0.016264,0.018098,0.309685
Knapsack,500200,5.329887,5.361180,0.587129,,5.325700,5.362550,0.691928,,0.050025,0.054252,0.023751
Mandlebrot,173912082,4.828673,4.872533,0.908324,,4.785400,4.834650,1.029172,,0.101030,0.097645,0.092660
N Body,105000005,4.497660,4.910233,9.173066,,4.478100,4.909850,9.641366,,0.063042,0.117800,0.000000
Sonar Sweep,39760695,7.486897,7.427387,-0.794855,,7.472750,7.427100,-0.610886,,0.044627,0.003843,0.000000
Sort,25413807,3.470880,3.578067,3.088170,,3.450200,3.567900,3.411396,,0.083689,0.052701,0.000000
